id,iri,term,synonyms,facet,level,parent_id,definition,definition_source,pathway_stage,climate_scope,adaptation_tag,adaptation_condition,mitigation_tag,is_hazard,provenance,status,version
CRK_140,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_140,Disease pressure,disease range shift; pathogen pressure,Climate risk,3,CRK_136,"Biological hazard characterised by shifts in the distribution, abundance, or timing of pathogen populations caused by climate variability or change, affecting crop, livestock, fishery, and livelihood systems.",IPCC AR6 WGII Ch.2,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_141,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_141,Invasive species,invasive alien species,Climate risk,3,CRK_136,"Biological hazard characterised by the introduction and establishment of non-native species whose spread, facilitated by climate change, threatens crops, livestock, biodiversity, and ecosystem function.",AGROVOC: invasive species; IUCN,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_142,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_142,Mycotoxin contamination,aflatoxin contamination,Climate risk,3,CRK_136,"Biological hazard characterised by the accumulation of toxic secondary metabolites produced by fungi on crops, the incidence of which is influenced by climate-driven temperature and moisture conditions, threatening food and feed safety.",AGROVOC: mycotoxins; FAO,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_143,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_143,Zoonotic disease emergence,zoonotic spillover,Climate risk,3,CRK_136,"Biological hazard characterised by the emergence or spread of diseases transmissible between animals and humans, the dynamics of which are influenced by climate-driven changes in host, vector, and pathogen distributions.",IPCC AR6 WGII Ch.7; WHO/FAO/WOAH One Health,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_161,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_161,Abiotic hazard,abiotic stress; abiotic stressor; abiotic constraint,Climate risk,2,CRK_100,"Climate hazard arising from non-living physical and chemical conditions of the atmosphere, water, land, and ocean, including temperature extremes, drought, flooding, storms, and soil degradation processes that harm agricultural and ecological systems.",IPCC AR6 WGII Ch.2,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,PRMS pilot,current,5.0.0-draft
CRK_101,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_101,Atmospheric hazard,weather-related hazard,Climate risk,3,CRK_161,"Abiotic hazard originating in the atmosphere, comprising events and trends in temperature, precipitation, wind, and related weather phenomena that can harm agricultural and ecological systems.",IPCC AR6 WGII Ch.4,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_102,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_102,Drought,dry spell; water deficit; aridity; water stress,Climate risk,4,CRK_101,"Atmospheric hazard characterised by an exceptional period of water shortage for existing ecosystems and the human population, due to low precipitation, high temperature, and/or wind. Sub-types include meteorological, agricultural and ecological, and hydrological drought.",IPCC AR6 WGII Glossary: Drought,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert; Lexicon consensus,current,5.0.0-draft
CRK_103,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_103,Meteorological drought,rainfall drought,Climate risk,5,CRK_102,Drought defined by a period with an abnormal precipitation deficit relative to the long-term average for a region.,IPCC AR6 WGII Glossary: Drought (meteorological drought),Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_104,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_104,Agricultural drought,soil-moisture drought,Climate risk,5,CRK_102,"Drought defined by an abnormal soil-moisture deficit, resulting from combined shortage of precipitation and excess evapotranspiration, that during the growing season impinges on crop production or ecosystem function.",IPCC AR6 WGII Glossary: Drought (agricultural and ecological drought),Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_105,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_105,Hydrological drought,streamflow drought,Climate risk,5,CRK_102,"Drought characterised by large runoff and water deficits in rivers, lakes and reservoirs.",IPCC AR6 WGII Glossary: Drought (hydrological drought),Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_162,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_162,Temperature extreme,extreme temperature; extreme temperature event,Climate risk,4,CRK_101,"Atmospheric hazard comprising air temperatures in the warm or cold tail of the local distribution, spanning both heat and cold extremes that exceed the tolerance thresholds of crops, livestock, people, and ecosystems.",IPCC AR6 WGI Ch.11,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,PRMS pilot,current,5.0.0-draft
CRK_106,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_106,Heat stress,high-temperature stress; thermal stress; elevated water temperature; rising water temperature; water temperature stress,Climate risk,5,CRK_162,"Temperature extreme characterised by ambient thermal conditions, in particular elevated temperature and humidity, that exceed the tolerance thresholds of crops, livestock, or people and impair their performance, health, or survival.",IPCC AR6 WGII Ch.4,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_107,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_107,Heatwave,Extreme heat,Climate risk,5,CRK_162,"Temperature extreme characterised by a period of abnormally hot weather, often defined relative to a temperature threshold, lasting from two days to months, with the potential to harm people, crops, livestock, and ecosystems.",IPCC AR6 WGII Glossary: Heatwave,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_108,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_108,Cold stress,low-temperature stress,Climate risk,5,CRK_162,"Temperature extreme characterised by ambient temperatures low enough to impair the growth, development, health, or survival of crops, livestock, or people.",IPCC AR6 WGII Ch.4,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_109,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_109,Frost,freeze; freezing injury,Climate risk,6,CRK_108,"Cold stress characterised by the occurrence of air or surface temperatures at or below the freezing point of water, capable of damaging plant tissues and reducing crop yields.",AGROVOC: frost (WMO definition),Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_110,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_110,Chilling stress,cold injury; chilling injury,Climate risk,6,CRK_108,"Cold stress characterised by low but non-freezing temperatures that impair the growth, development or yield of chilling-sensitive crops.",IPCC AR6 WGII Ch.4,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_111,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_111,Wildfire,bushfire; forest fire,Climate risk,4,CRK_101,"Atmospheric hazard characterised by an unplanned, uncontrolled fire burning in vegetation, the occurrence and severity of which are influenced by climate and weather, with the potential to destroy crops, forests, livestock, and infrastructure.",IPCC AR6 WGI Ch.12; FAO,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_158,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_158,Fire-weather,fire danger,Climate risk,4,CRK_101,"Atmospheric hazard characterised by the meteorological conditions, including high temperature, low humidity, strong wind, and low precipitation, that promote the ignition and rapid spread of wildfire.",IPCC AR6 WGI Ch.12: Fire weather,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_112,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_112,Atmospheric chemistry change,atmospheric composition change,Climate risk,4,CRK_101,"Atmospheric hazard characterised by changes in the chemical composition of the atmosphere, such as elevated carbon dioxide concentration or surface ozone, that alter plant growth, productivity, and ecosystem function.",IPCC AR6 WGI Ch.6; WGII Ch.5,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_113,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_113,Storm,windstorm,Climate risk,4,CRK_101,"Atmospheric hazard characterised by a disturbance of the atmosphere marked by strong winds and often precipitation, thunder, or lightning, with the potential to damage crops, infrastructure, and livelihoods.",AGROVOC: storms (WMO),Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_114,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_114,Tropical cyclone,cyclone; hurricane; typhoon,Climate risk,5,CRK_113,"Storm characterised by a strong, cyclonic-scale disturbance originating over tropical oceans; classed as a tropical storm at one-minute mean surface winds of 18 to 32 m/s, and as a hurricane, typhoon, or cyclone above 32 m/s depending on geographic location.",IPCC AR6 WGI Annex VII Glossary: Tropical cyclone,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_115,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_115,Hailstorm,hail,Climate risk,5,CRK_113,"Storm characterised by precipitation in the form of hail, in which balls or irregular lumps of ice fall from the atmosphere with sufficient force to damage crops, structures, and livestock.",AGROVOC: hail,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_116,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_116,Rainfall variability,precipitation variability,Climate risk,4,CRK_101,"Atmospheric hazard characterised by deviations in the timing, frequency, intensity, or spatial distribution of precipitation from expected long-term patterns, disrupting crop calendars and water availability.",IPCC AR6 WGI Ch.8: Precipitation variability,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_117,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_117,Erratic within-season rainfall,Erratic rainfall; intra-seasonal variability; rainfall uncertainty; irregular precipitation,Climate risk,5,CRK_116,"Form of rainfall variability characterised by unpredictable within-season timing, frequency, intensity, or spatial distribution of precipitation, which disrupts crop calendars and farm decisions; distinct from a lasting change in season timing and from sustained shortage or excess.",IPCC AR6 WGI Ch.8: Precipitation variability,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_118,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_118,Shifted rainfall seasonality,delayed onset; shortened season; phenological shift,Climate risk,5,CRK_116,"Form of rainfall variability characterised by a lasting change in the onset, cessation, or duration of rainy seasons across years, making established crop calendars and livelihood practices less reliable; typically a slow-onset, climate-change-driven stressor distinct from within-season unpredictability.",IPCC AR6 WGI Ch.8: Changes in monsoon and rainy-season timing,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_119,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_119,Rainfall intensity change,extreme precipitation,Climate risk,5,CRK_116,"Form of rainfall variability characterised by a change in the amount of precipitation falling per unit time, including increases in heavy and extreme precipitation that raise the risk of erosion, runoff, and flooding.",IPCC AR6 WGI Ch.11: Extreme precipitation,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_120,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_120,Dust storm,sandstorm; aeolian dust event,Climate risk,5,CRK_113,"Storm characterised by strong winds lifting and transporting large quantities of dust or sand, which can damage crops, bury fields, reduce visibility, and degrade air quality and soils.",IPCC AR6 WGI Ch.6: Dust,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_121,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_121,Hydrological hazard,water-related hazard,Climate risk,3,CRK_161,"Abiotic hazard relating to the occurrence, movement, and distribution of water at and below the land surface, comprising events such as floods and changes in water bodies that can harm agricultural and ecological systems.",IPCC AR6 WGII Ch.3; IPCC SROCC,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_122,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_122,Flood,inundation; submergence; flooding; Stagnant flooding,Climate risk,4,CRK_121,"Hydrological hazard characterised by the overflowing of the normal confines of a stream or other water body, or the accumulation of water over areas not normally submerged. Sub-types include fluvial, pluvial, flash, coastal, and glacial lake outburst floods.",IPCC AR6 WGII Glossary: Flood,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_123,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_123,Fluvial flood,river flood; riverine flood,Climate risk,5,CRK_122,"Flood, also termed a river flood, characterised by the overflow of a watercourse onto adjacent floodplains when river discharge exceeds channel capacity.",IPCC AR6 WGII Ch.4; AGROVOC: flooding (c_2980),Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_124,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_124,Pluvial flood,surface-water flood; waterlogging,Climate risk,5,CRK_122,"Flood characterised by surface-water accumulation and waterlogging caused by rainfall exceeding the infiltration and drainage capacity of the land, independent of overflow from a watercourse.",IPCC AR6 WGI Ch.11 (pluvial flooding); AGROVOC: waterlogging (c_8333),Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_125,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_125,Coastal flood,coastal inundation,Climate risk,5,CRK_122,"Flood characterised by the inundation of low-lying coastal land by seawater, driven by storm surge, high tides, waves, or sea-level rise.",IPCC AR6 WGII Ch.3; IPCC SROCC Ch.4,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_126,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_126,Flash flood,flash flooding,Climate risk,5,CRK_122,"Flood characterised by a rapid onset and short duration, generated by intense rainfall over a small or steep catchment, leaving little warning time and causing sudden, destructive inundation.",AGROVOC: flash floods; IPCC AR6 WGI Ch.11,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_129,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_129,Salinity intrusion,Saltwater intrusion; saline intrusion; seawater intrusion,Climate risk,4,CRK_121,"Hydrological hazard characterised by the inland or upward movement of saline water into freshwater aquifers, soils, or surface water, driven by sea-level rise, storm surge, or reduced freshwater flow, degrading water and soils for agriculture.",IPCC SROCC Ch.4: Saltwater intrusion,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_130_1,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_130_1,Glacier change,glacier retreat; glacier loss,Climate risk,4,CRK_121,"Hydrological hazard characterised by changes in the mass, extent, and behaviour of glaciers, including retreat and loss of ice, that alter the timing and volume of meltwater supply to downstream water resources.",IPCC SROCC Ch.2: Glaciers,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_130_2,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_130_2,Snowpack change,snow cover change; snowmelt change,Climate risk,4,CRK_121,"Hydrological hazard characterised by changes in the accumulation, extent, and melt timing of seasonal snow, altering the volume and seasonality of water supply from snowmelt to downstream systems.",IPCC SROCC Ch.2: Snow cover,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_131,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_131,Glacial lake outburst flood,GLOF,Climate risk,5,CRK_122,"Flood characterised by the sudden release of water impounded by a glacial lake, often following dam failure of moraine or ice, producing a destructive downstream flood.",IPCC SROCC Ch.2: Glacial lake outburst flood,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_169,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_169,Water scarcity,water-scarce; water shortage,Climate risk,4,CRK_121,"Hydrological hazard in which the demand for freshwater exceeds the available supply within a given geographic area and time period, intensifying as demand grows or as the quantity or quality of water resources declines.",FAO / UN-Water (water scarcity); IPCC AR6 WGII Ch.4,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Restructure (v5),current,5.0.0-draft
CRK_144,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_144,Soil hazard,edaphic hazard,Climate risk,3,CRK_161,"Abiotic hazard relating to the soil and land system, comprising processes such as erosion, salinization, and degradation that are driven or accelerated by climate and that diminish the productive capacity of land.",IPCC SRCCL,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_145,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_145,Soil erosion,soil loss,Climate risk,4,CRK_144,"Soil hazard characterised by the detachment and removal of soil particles by water or wind, accelerated by extreme rainfall, runoff, and loss of vegetation cover, reducing soil depth and fertility.",AGROVOC: soil erosion; IPCC SRCCL,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert; Lexicon consensus,current,5.0.0-draft
CRK_146,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_146,Soil salinization,soil salinity; salinisation; salinity,Climate risk,4,CRK_144,"Soil hazard characterised by the accumulation of soluble salts in the soil profile, driven by factors such as evaporation, poor irrigation, and saline-water intrusion, which impairs plant growth and soil productivity.",AGROVOC: soil salinization (c_35321); IPCC SRCCL,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert; Lexicon consensus,current,5.0.0-draft
CRK_147,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_147,Soil carbon loss,soil organic carbon loss; soil carbon depletion,Climate risk,4,CRK_144,"Soil hazard characterised by the depletion of soil organic carbon stocks through processes such as erosion, mineralization, and land-use change, reducing soil fertility, structure, and resilience to climate stress.",IPCC SRCCL Ch.4,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_148,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_148,Soil acidification,soil pH decline,Climate risk,4,CRK_144,"Soil hazard characterised by a decline in soil pH, which mobilises toxic elements and reduces nutrient availability, impairing crop growth and soil health.",AGROVOC: soil acidification,Rationale,Adaptation,Adaptation-conditional,"Climate risk counts as adaptation when the text attributes it to climate change, climate variability, or a named climate hazard (for example climate-induced, climate-driven, exacerbated by warming, or due to changing rainfall), OR when it is the stated target of an adaptation-specific intervention, climate service, or early-warning action; NOT adaptation when it is described as a routine pest, sanitary, food-safety, land-management, or general social or economic problem with no climate framing.",n/a,TRUE,Domain expert,current,5.0.0-draft
CRK_149,https://mlolita26.github.io/cgiar-climate-taxonomy/terms/CRK_149,Desertification,desertisation,Climate risk,4,CRK_144,"Soil hazard characterised by land degradation in arid, semi-arid, and dry sub-humid areas resulting from climatic variations and human activities, reducing the biological and economic productivity of drylands.",UNCCD: Desertification; IPCC SRCCL,Rationale,Adaptation,Adaptation-specific,Intrinsic,n/a,TRUE,Domain expert,current,5.0.0-draft
