change,ID,term,facet,level (v5),parent (v5),field changed,value in v4,value in v5,why
ADDED,INT_292,Climate change fund,Intervention,L2,INT_113 Climate finance,(new concept),(not present in v4),"Climate finance channelled through a dedicated fund established to finance climate action.  [source: UNFCCC financial mechanism (GCF, Adaptation Fund)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_293,Responsible scaling,Intervention,L2,INT_166 Scaling,(new concept),(not present in v4),"Scaling that anticipates and manages the social, environmental and equity consequences of expanding an innovation.  [source: CGIAR Scaling Readiness (responsible scaling)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_294,Cost-benefit analysis,Intervention,L2,INT_184 Economic analysis,(new concept),(not present in v4),Economic analysis that compares the monetised costs and benefits of an intervention to assess its net value.  [source: OECD (cost-benefit analysis)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_295,Livestock nutrition,Intervention,L2,INT_048 Livestock management,(new concept),(not present in v4),"Livestock management concerned with the feeding and nutrition of animals - diets, rations and supplements - for health and productivity.  [source: FAO (animal feeding and nutrition)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_296,Human nutrition,Intervention,L1,(top level),(new concept),(not present in v4),Intervention that improves the dietary intake and nutritional status of people through food-based approaches.  [source: FAO/WHO (human nutrition)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_297,Carbon dioxide removal,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention comprising anthropogenic activities that remove carbon dioxide from the atmosphere and durably store it in geological, terrestrial or ocean reservoirs, or in products.  [source: IPCC AR6 Glossary: Carbon dioxide removal (CDR)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_298,Climate data,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention encompassing the generation, curation and provision of observational and model data on climate variables for research and climate services.  [source: WMO GCOS; AGROVOC: climatic data]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_299,Digital advisory,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention that delivers advisory content to producers through digital channels such as mobile applications, SMS and interactive voice response.  [source: CGIAR/WMO Digital Climate Advisory Services]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_300,"Monitoring, evaluation, learning",Intervention,L1,(top level),(new concept),(not present in v4),"Intervention encompassing the monitoring, evaluation and learning functions that track implementation, assess results and feed lessons back into decision-making.  [source: CGIAR MEL framework (no external reference)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_301,Adaptation action,Intervention,L2,INT_303 Climate action,(new concept),(not present in v4),"Climate action comprising the process of adjustment to actual or expected climate and its effects, in order to moderate harm or exploit beneficial opportunities.  [source: IPCC AR6 Glossary: Adaptation]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_302,Mitigation action,Intervention,L2,INT_303 Climate action,(new concept),(not present in v4),Climate action that reduces emissions or enhances the sinks of greenhouse gases.  [source: IPCC AR6 Glossary: Mitigation],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_303,Climate action,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention undertaken to address climate change or its impacts, spanning adaptation, mitigation and enabling measures.  [source: UNFCCC (climate action)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_304,Conflict-sensitive climate action,Intervention,L2,INT_303 Climate action,(new concept),(not present in v4),"Climate action designed and delivered with explicit attention to conflict dynamics, avoiding harm and contributing to peace where possible.  [source: CGIAR Climate Security (conflict-sensitive climate action)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_305,Financial service,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention comprising the provision of financial products and services - credit, savings, insurance and payments - to producers and agri-food actors.  [source: World Bank (financial services); FAO rural finance]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_306,Insurance,Intervention,L2,INT_305 Financial service,(new concept),(not present in v4),Financial service providing contractual indemnification of producers or institutions against specified losses in exchange for a premium.  [source: AGROVOC: insurance; World Bank (agricultural insurance)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_307,Participatory workshop,Intervention,L2,INT_329 Workshop,(new concept),(not present in v4),"Workshop that convenes stakeholders to deliberate and co-produce outputs jointly, rather than to receive instruction.  [source: FAO (participatory approaches)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_308,Participatory monitoring,Intervention,L2,"INT_300 Monitoring, evaluation, learning",(new concept),(not present in v4),"Monitoring, evaluation, learning that engages local stakeholders in collecting and interpreting monitoring data about conditions, resources or interventions.  [source: FAO (participatory monitoring and evaluation)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_309,Training of trainers,Intervention,L2,INT_150 Training,(new concept),(not present in v4),Training that equips selected trainers to cascade knowledge and skills onward to further trainers or end users.  [source: FAO (training of trainers)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_310,Consultation,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention that elicits the views of stakeholders on plans, policies or technologies before decisions are taken.  [source: OECD (stakeholder consultation)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_311,Permaculture,Intervention,L2,INT_022 Agronomic management,(new concept),(not present in v4),"Agronomic management that designs cultivation around perennial, self-maintaining plant-animal assemblages mimicking natural ecosystems.  [source: AGROVOC: permaculture]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_312,Mechanization,Intervention,L1,(top level),(new concept),(not present in v4),Intervention that introduces or expands the use of machinery and powered equipment in agricultural operations.  [source: AGROVOC: agricultural machinery; FAO Sustainable Agricultural Mechanization],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_313,Commercialization,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention that moves products, services or innovations into commercial markets and revenue-generating use.  [source: CGIAR commercialization and scaling literature]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_314,Demonstration farm,Intervention,L1,(top level),(new concept),(not present in v4),Intervention that operates a farm or plot to showcase practices and technologies to producers for learning and adoption.  [source: FAO (extension demonstration plots); AGROVOC: agricultural extension (c_37834)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_315,Field trial,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention that tests technologies, varieties or practices under field conditions to evaluate their performance.  [source: AGROVOC: field experimentation]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_316,On-farm trial,Intervention,L2,INT_315 Field trial,(new concept),(not present in v4),Field trial conducted on producers' own farms under their management conditions.  [source: AGROVOC: on-farm research],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_317,Long-term experiment,Intervention,L2,INT_315 Field trial,(new concept),(not present in v4),"Field trial maintained over many seasons or years to measure slow or cumulative effects, such as on soils and system resilience.  [source: Rothamsted long-term experiments literature]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_318,Pilot,Intervention,L1,(top level),(new concept),(not present in v4),Intervention that implements an approach at limited scale to test feasibility and generate learning before wider rollout.  [source: CGIAR portfolio activity category (no external reference)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_319,Farming practice,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention comprising the recurrent crop, livestock and land operations that producers apply in production.  [source: FAO (agricultural practices)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_320,Sustainable agricultural practice,Intervention,L1,(top level),(new concept),(not present in v4),Intervention that maintains production while conserving the natural resource base and limiting environmental pressure.  [source: FAO (sustainable agriculture)],added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_321,Good agricultural practice,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention comprising agricultural operations codified in recognised standards addressing food safety, environmental management and worker welfare.  [source: FAO Good Agricultural Practices]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_322,Vector control,Intervention,L3,INT_029 Integrated pest management,(new concept),(not present in v4),"Integrated pest management that targets disease-transmitting organisms - insects, ticks, snails - through environmental, biological or chemical measures.  [source: WHO (vector control)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,INT_323,Biochar,Intervention,L2,INT_283 Agricultural input,(new concept),(not present in v4),"Agricultural input that is a by-product of the pyrolysis of residual biomass, a stable carbonate derivative produced from plant and/or animal biomass for application in agriculture.  [source: IPCC AR6 WGIII Ch.7; AGROVOC: biochar (c_e25876d3)]",11 results; a named material input whose claim is durable soil carbon
ADDED,INT_324,Weather data,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention encompassing the generation, curation and provision of data on atmospheric conditions at a particular time in a particular location, including temperature, humidity, precipitation, wind and visibility.  [source: AGROVOC: weather data (c_29564); AGROVOC: weather (c_15292); WMO Technical Regulations WMO]","Was a synonym of INT_298 Climate data, which it is not: WMO separates weather (hours to days) from climate (multi-decadal statistics). Andreea's list excludes the word as a synonym, which is satisfied by removing it from INT_298; the concept is a separate question her list does not address."
ADDED,INT_325,Seed distribution,Intervention,L1,(top level),(new concept),(not present in v4),Intervention that supplies seed and planting material to farmers through organised public or commercial channels.  [source: FAO Seed Security Assessment (seed distribution channels)],"Was a synonym of INT_111 Emergency seed distribution, where it is broader than the concept: routine distribution is not anticipatory action. Fills a real gap between INT_016 (to breeders), INT_268 (farmer-to-farmer) and INT_111 (emergency only)."
ADDED,INT_326,Carbon finance,Intervention,L3,INT_291 Mitigation finance,(new concept),(not present in v4),Mitigation finance raised through the sale or transfer of carbon credits generated by emission reduction or removal activities.  [source: World Bank (carbon finance); UNFCCC Paris Agreement Article 6],"Andreea asked for it standalone and the substance agrees: carbon finance is revenue from selling credits, narrower than mitigation finance, so R14 fails one way."
ADDED,INT_327,Sustainable forest management,Intervention,L3,INT_064 Forest management,(new concept),(not present in v4),"Forest management comprising the sustainable use and conservation of forests with the aim of maintaining and enhancing multiple forest values through human interventions, assessed against the seven thematic elements of the UN Forest Instrument.  [source: FAO (sustainable forest management); UN Forest Instrument (seven thematic elements)]","A named practice with its own criteria and indicators, not a wording of generic forest management. Approved from the promotion table (row 2)."
ADDED,INT_328,Weather-index insurance,Intervention,L5,INT_122 Index insurance,(new concept),(not present in v4),Index insurance whose payouts are triggered by measured weather variables such as rainfall or temperature recorded at a reference station.  [source: World Bank / IFAD weather index insurance guidance],A kind of index insurance - the index is a weather variable - so a child rather than a wording of it. Approved from the promotion table (row 3).
ADDED,INT_329,Workshop,Intervention,L1,(top level),(new concept),(not present in v4),"Intervention comprising a time-bound facilitated meeting convened to share knowledge, build skills or reach agreement among participants.  [source: CGIAR Capacity Development Framework (workshops listed among ""software"" capacity-developme]",23 tagged units asked for the bare word - second highest demand in the 2025 ledger - while INT_307 Participatory workshop sat childless at L1. Missing genus. Approved from the needs-care table (23u).
ADDED,OTC_121,Yield stability,Outcome,L1,(top level),(new concept),(not present in v4),"Outcome construct denoting the constancy of yield across seasons and stress conditions, treated neutrally as the result whose direction is assessed at tagging.  [source: crop yield-stability literature (Becker & Léon 1988); AGROVOC]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_122,Water productivity,Outcome,L2,OTC_102 Productivity,(new concept),(not present in v4),Productivity expressed as agricultural output per unit of water used.  [source: FAO (water productivity)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_123,Agricultural resilience,Outcome,L2,OTC_050 Resilience,(new concept),(not present in v4),Resilience of agricultural production and livelihoods to shocks and stresses.  [source: IPCC AR6 WGII Glossary: Resilience (scoped to agriculture)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_124,Landscape resilience,Outcome,L2,OTC_050 Resilience,(new concept),(not present in v4),Resilience of landscape-level ecological and social functions to shocks and stresses.  [source: IPCC AR6 WGII Glossary: Resilience (scoped to landscapes)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_125,Food system resilience,Outcome,L2,OTC_050 Resilience,(new concept),(not present in v4),"Resilience of food systems to shocks and stresses affecting production, supply chains and access.  [source: IPCC AR6 WGII Glossary: Resilience (scoped to food systems); HLPE]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_126,Economic resilience,Outcome,L2,OTC_050 Resilience,(new concept),(not present in v4),"Resilience of incomes, assets and economic activity to shocks and stresses.  [source: IPCC AR6 WGII Glossary: Resilience (scoped to economies)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_127,Social equity,Outcome,L2,OTC_115 Equity,(new concept),(not present in v4),"Equity in the distribution of resources, opportunities and benefits across social groups.  [source: IPCC AR6 WGII (equity and justice in adaptation)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_128,Gender inclusion,Outcome,L2,OTC_116 Inclusion,(new concept),(not present in v4),"Inclusion of women and men on equitable terms in activities, institutions and benefits.  [source: CGIAR GENDER Impact Platform; IPCC AR6 WGII (inclusion)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_129,Social inclusion,Outcome,L2,OTC_116 Inclusion,(new concept),(not present in v4),"Inclusion of marginalised or disadvantaged social groups in activities, institutions and benefits.  [source: IPCC AR6 WGII (inclusion); CGIAR GENDER]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_130,Financial inclusion,Outcome,L2,OTC_116 Inclusion,(new concept),(not present in v4),Inclusion of individuals and enterprises in access to and use of affordable formal financial services.  [source: World Bank (financial inclusion)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_131,Agronomic performance,Outcome,L1,(top level),(new concept),(not present in v4),"Outcome construct denoting the field performance of crops or practices - establishment, growth and yield components.  [source: AGROVOC: agronomic characters]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_132,Behavioural change,Outcome,L1,(top level),(new concept),(not present in v4),"Outcome construct denoting changes in the practices, decisions or habits of individuals or organisations.  [source: behaviour-change literature; WHO]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_133,Employment,Outcome,L1,(top level),(new concept),(not present in v4),Outcome construct denoting paid work and jobs generated or sustained.  [source: ILO (decent work and employment)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_134,Rate of return,Outcome,L1,(top level),(new concept),(not present in v4),Outcome construct denoting the financial or economic return generated per unit invested.  [source: CIMMYT (1988) From Agronomic Data to Farmer Recommendations; OECD],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_135,Marginal rate of return,Outcome,L2,OTC_134 Rate of return,(new concept),(not present in v4),Rate of return on an additional unit of investment.  [source: CIMMYT (1988) From Agronomic Data to Farmer Recommendations (marginal rate of return)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_136,Return on investment,Outcome,L2,OTC_134 Rate of return,(new concept),(not present in v4),Rate of return expressing net benefit as a share of investment cost.  [source: OECD (return on investment)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_137,Food access,Outcome,L1,(top level),(new concept),(not present in v4),"Outcome construct denoting the physical, social and economic access of people to sufficient, safe and nutritious food that meets their dietary needs.  [source: FAO (food access; World Food Summit 1996)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_138,Feed availability,Outcome,L1,(top level),(new concept),(not present in v4),Outcome construct denoting the sufficiency of feed and forage supply for livestock across seasons.  [source: FAO (livestock feed security)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OTC_139,Gender equity,Outcome,L2,OTC_115 Equity,(new concept),(not present in v4),"Equity between women and men in the distribution of resources, opportunities and benefits.  [source: CGIAR GENDER Impact Platform; FAO]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_117,Germplasm,Output,L1,(top level),(new concept),(not present in v4),"Output comprising any material of plant or animal origin containing functional units of heredity, conserved and exchanged as a resource for breeding.  [source: ITPGRFA Art. 2 (genetic material); FAO]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_118,Climate-risk credit score,Output,L2,OUT_011 Composite index,(new concept),(not present in v4),Composite index that scores the climate-related risk of borrowers or portfolios to inform lending decisions.  [source: climate risk finance literature (no established authority)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_119,Hybrid variety,Output,L2,OUT_002 Variety,(new concept),(not present in v4),"Variety that results from crossing two genetically distinct parent lines, exploiting the vigour expressed in the first filial generation.  [source: AGROVOC: hybrids]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_120,Improved variety,Output,L2,OUT_002 Variety,(new concept),(not present in v4),Variety that has been developed through selection or breeding for defined agronomic or quality characteristics.  [source: FAO (improved varieties); AGROVOC],added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_121,Innovation,Output,L1,(top level),(new concept),(not present in v4),"Output comprising a new or improved product or process, or a combination thereof, that differs significantly from previous products or processes and has been made available to potential users or brought into use.  [source: OECD/Eurostat Oslo Manual (2018)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_122,Fodder bank,Output,L1,(top level),(new concept),(not present in v4),Output comprising an established reserve of cultivated forage or stored feed maintained to supply livestock through scarcity periods.  [source: ILRI/FAO (fodder banks)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_123,Seed bank,Output,L1,(top level),(new concept),(not present in v4),"Output comprising a facility that stores, maintains, and distributes seed varieties to support farmer, pastoralist, and producer access to appropriate planting material  [source: FAO (community seed banks)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_124,Data system,Output,L1,(top level),(new concept),(not present in v4),"Output comprising an organised infrastructure for collecting, storing, managing and sharing data.  [source: CGIAR portfolio output category (no external reference)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_125,Sustainable livelihoods framework,Output,L2,OUT_083 Framework,(new concept),(not present in v4),"Framework that analyses livelihoods through capital assets, vulnerability context and institutions to guide development and resilience interventions.  [source: DFID Sustainable Livelihoods Framework (1999)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_126,Mitigation plan,Output,L1,(top level),(new concept),(not present in v4),"Output comprising a plan that sets out measures, targets and responsibilities for reducing greenhouse gas emissions.  [source: UNFCCC (mitigation planning)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_127,Mitigation policy,Output,L2,OUT_048 Climate policy,(new concept),(not present in v4),Climate policy directed at reducing greenhouse gas emissions or enhancing their sinks.  [source: UNFCCC; IPCC AR6 WGIII (mitigation policy)],added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_128,Enhanced Transparency Framework,Output,L2,OUT_083 Framework,(new concept),(not present in v4),"Framework under the Paris Agreement through which countries report greenhouse gas inventories, progress on their NDCs and support, subject to international review.  [source: UNFCCC Paris Agreement Art. 13 (Enhanced Transparency Framework)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_129,Research network,Output,L2,OUT_039 Network,(new concept),(not present in v4),"Network that connects researchers and institutions for joint studies, shared data and coordinated agendas.  [source: AGROVOC: research networks]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_130,Financial product,Output,L1,(top level),(new concept),(not present in v4),"Output comprising a packaged financial offering - loans, insurance, savings or guarantees - made available to clients.  [source: World Bank/OECD (financial products)]",added by the 3 Sep cleanup from Andreea's lists
ADDED,OUT_131,Loan,Output,L2,OUT_130 Financial product,(new concept),(not present in v4),Financial product providing borrowed capital to be repaid with interest over an agreed term.  [source: OECD/World Bank (credit and lending)],added by the 3 Sep cleanup from Andreea's lists
