word_or_ID,normalised_for_matching,exclusion_type,decided_by,date,reason,status_in_v5_today,breaches_this_exclusion,where_the_original_record_lives,on_tagging_stoplist
Climate information product,climate information product,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (OUT_065). Successor: dropped (children promoted to L1). Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Climate-mobility programming,climate mobility programming,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (INT_195). Successor: dropped. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Collaboration,collaboration,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_45). Successor: OTC_044. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Effectiveness,effectivenes,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_44). Successor: OTC_093 (word parked). Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Efficiency,efficiency,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_43). Successor: OTC_111/112/113 (word parked). Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Exposure,exposure,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CRK_03). Successor: CRK_163. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Inclusive,inclusive,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_46). Successor: OTC_116. Do not re-create without checking why it went,present as SYNONYM of OTC_116,no - the ID was retired; this label legitimately lives on its successor,v5_retired_ids.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Indigenous Peoples,indigenou people,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (STK_012). Successor: STK_065. Do not re-create without checking why it went,the label of STK_065 'Indigenous Peoples' - not present as a synonym,no - the ID was retired; this label legitimately lives on its successor,v5_retired_ids.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Insurance product,insurance product,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (OUT_006). Successor: INT_306 Insurance. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Intellectual property and licensing,intellectual property and licensing,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (INT_201). Successor: dropped. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Market intelligence platform,market intelligence platform,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (OUT_054). Successor: dropped. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
National research and extension system strengthening,national research and extension system strengthening,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (INT_157). Successor: dropped. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Nature-positive,nature positive,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_39). Successor: INT_271. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Plan,plan,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (OUT_042). Successor: dropped (children promoted to L1). Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Planned relocation support,planned relocation support,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (INT_196). Successor: dropped. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Regenerative,regenerative,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_41). Successor: INT_275. Do not re-create without checking why it went,present as SYNONYM of INT_275,no - the ID was retired; this label legitimately lives on its successor,v5_retired_ids.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Scaling,scaling,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (ADP_06). Successor: dropped. Do not re-create without checking why it went,the label of INT_166 'Scaling' - not present as a synonym,no - the ID was retired; this label legitimately lives on its successor,v5_retired_ids.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Sensitivity,sensitivity,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CRK_05). Successor: CRK_165. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Site-specific,site specific,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CCC_40). Successor: INT_236. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Vulnerability,vulnerability,CONCEPT-RETIRED,Andreea / remediation,2026-09-03,concept removed (CRK_04). Successor: CRK_164. Do not re-create without checking why it went,absent,"no - absent, as expected",v5_retired_ids.csv,"YES - absent, so the pipeline could still propose it"
Animal health,animal health,CONCEPT-DECLINED,Lolita,2026-09-04,Andreea asked for it as a standalone concept; Lolita decided only Rainfall would be added in this round. Currently a synonym of INT_054 Animal health management,present as SYNONYM of INT_054,no - declined as a CONCEPT; presence as a synonym is the decision,REMEDIATION_2026-09-04.md,"NO - already matches the taxonomy, so it cannot be proposed"
Artificial intelligence,artificial intelligence,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined this round,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Biological nitrification inhibition,biological nitrification inhibition,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report 5 units; not approved this round,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Black Soldier Fly,black soldier fly,CONCEPT-DECLINED,Lolita,2026-09-04,"needs-care table; declined - species-level, 1 unit, and SYS_114 Black soldier fly system holds the production system",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Carbon accounting,carbon accounting,CONCEPT-DECLINED,Lolita,2026-09-04,same - declined this round. Currently parked on OUT_110 Carbon accounting methodology,present as SYNONYM of OUT_110,no - declined as a CONCEPT; presence as a synonym is the decision,REMEDIATION_2026-09-04.md,"NO - already matches the taxonomy, so it cannot be proposed"
chilling,chilling,CONCEPT-DECLINED,Lolita,2026-09-04,"deliberately NOT added as a synonym of CRK_110 Chilling stress: in agri-food text it usually means post-harvest cooling, and SYS_083 Post-harvest handling is live in this corpus",absent,"no - absent, as decided",REMEDIATION_2026-09-04.md,"YES - absent, so the pipeline could still propose it"
Citizen science,citizen science,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined this round,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Clean,clean,CONCEPT-DECLINED,Lolita,2026-09-04,"needs-care table; declined - an adjective, the same class as the Cross-cutting adjectives already retired (Nature-positive, Regenerative, Inclusive)",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Conflict,conflict,CONCEPT-DECLINED,Lolita,2026-09-04,"needs-care table; declined as too broad - also conflict of interest, data conflict. CRK_166 Climate security holds the risk framing",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Conflict sensitivity,conflict sensitivity,CONCEPT-DECLINED,Lolita,2026-09-04,same - declined this round. Absorbed as a synonym of INT_304 Conflict-sensitive climate action,present as SYNONYM of INT_304,no - declined as a CONCEPT; presence as a synonym is the decision,REMEDIATION_2026-09-04.md,"NO - already matches the taxonomy, so it cannot be proposed"
Cropland,cropland,CONCEPT-DECLINED,Lolita,2026-09-04,needs-care table; not approved despite being a plausible parent of SYS_108 Irrigated cropland. 2 units only,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Demonstration,demonstration,CONCEPT-DECLINED,Lolita,2026-09-04,needs-care table; declined as too broad - INT_314 Demonstration farm carries the specific sense,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Displacement,displacement,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report 10 units; not approved. INT_194 Migration covers the intervention and STK_055 Displaced population the actors,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Emission reduction,emission reduction,CONCEPT-DECLINED,Lolita,2026-09-04,declined: a directional label breaches the neutral-wording rule and OTC_105 Greenhouse gas emissions already holds the neutral construct,present as SYNONYM of OTC_105,no - declined as a CONCEPT; presence as a synonym is the decision,REMEDIATION_2026-09-04.md,"NO - already matches the taxonomy, so it cannot be proposed"
Groundwater depletion,groundwater depletion,CONCEPT-DECLINED,Lolita,2026-09-04,"not added: Andreea explicitly excluded 'Groundwater' and 'Groundwater level', so this needs raising with her rather than adding",absent,"no - absent, as decided",REMEDIATION_2026-09-04.md,"YES - absent, so the pipeline could still propose it"
Late blight,late blight,CONCEPT-DECLINED,Lolita,2026-09-04,"candidate report 6 units; not approved - a named disease, which falls under the no-species-splitting decision. CRK_140 Disease pressure holds the construct",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Living lab,living lab,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined this round,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Newsletter,newsletter,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined as a generic document word,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Policymaker,policymaker,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined - STK facet holds the actor concepts,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Positive deviance,positive deviance,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined this round,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Presentation,presentation,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined as a generic document word,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Recovery,recovery,CONCEPT-DECLINED,Lolita,2026-09-04,"needs-care table; declined as too broad - economic, post-disaster and data recovery all match. Post-disaster recovery would be its own concept",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
School,school,CONCEPT-DECLINED,Lolita,2026-09-04,needs-care table; declined - would match every school. OUT_102 Farmer field school carries the specific sense,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Soil fertility,soil fertility,CONCEPT-DECLINED,Lolita,2026-09-04,"same - declined this round. Currently a synonym of INT_030 Nutrient management, which is the activity not the state",present as SYNONYM of INT_030,no - declined as a CONCEPT; presence as a synonym is the decision,REMEDIATION_2026-09-04.md,"NO - already matches the taxonomy, so it cannot be proposed"
Stakeholder,stakeholder,CONCEPT-DECLINED,Lolita,2026-09-04,"needs-care table; declined - it is a FACET name, so as a concept it would collide with the structural vocabulary and match everything",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Sustainable agriculture,sustainable agriculture,CONCEPT-DECLINED,Lolita,2026-09-04,"candidate report tier A; declined - overlaps Climate-smart agriculture, Agroecology and Sustainable intensification",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Technical assistance,technical assistance,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined as too generic,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Update,update,CONCEPT-DECLINED,Lolita,2026-09-04,candidate report tier A; declined as a generic document word,absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
Water infrastructure,water infrastructure,CONCEPT-DECLINED,Lolita,2026-09-04,"candidate report 5 units; not approved - covers dams, canals and urban supply, adaptation-conditional at best",absent,"no - absent, as decided",CANDIDATES_FOR_ADDITION.csv,"YES - absent, so the pipeline could still propose it"
4R nutrient stewardship,4r nutrient stewardship,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_033. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_033,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
biogas digester,bioga digester,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_265. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_265,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
biogas plant,bioga plant,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_265. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_265,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Blue food system,blue food system,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of SYS_055. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of SYS_055,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
carbon capture and storage,carbon capture and storage,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_252. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_252,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Climate advisory system,climate advisory system,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_098. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_098,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Climate finance information system,climate finance information system,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_113. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_113,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
climate-security nexus,climate security nexu,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of CRK_166. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of CRK_166,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Climate-smart livestock system,climate smart livestock system,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of SYS_018. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of SYS_018,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
common bean,common bean,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of SYS_095. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of SYS_095,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Faba bean,faba bean,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of SYS_095. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of SYS_095,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Floodplain ecosystem,floodplain ecosystem,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of SYS_106. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of SYS_106,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Forest landscape,forest landscape,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of SYS_040. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of SYS_040,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Homestead agroforestry,homestead agroforestry,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_060. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_060,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
in situ on-farm conservation,in situ on farm conservation,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_197. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_197,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
income resilience,income resilience,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of OTC_005. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of OTC_005,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Manure nutrient management,manure nutrient management,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of INT_030. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of INT_030,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
multi-level governance,multi level governance,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of OTC_046. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of OTC_046,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
polycentric governance,polycentric governance,NOT-AS-CONCEPT-STAYS-SYNONYM,Lolita,2026-09-04,promotion candidate reviewed and closed: stays a synonym of OTC_046. The word remains taggable; what was declined is giving it its own row,present as SYNONYM of OTC_046,"no - kept as a synonym, which is the recorded decision",CANDIDATES_FOR_ADDITION.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Carbon dioxide removal,carbon dioxide removal,NOT-AS-SYNONYM-CONCEPT-INSTEAD,Andreea,2026-09-02,Andreea: will be standalone,the label of INT_297 'Carbon dioxide removal' - not present as a synonym,"no - she asked for a concept, and it is one",her diagnostics doc; audited in c3_exclusion_audit.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Climate,climate,NOT-AS-SYNONYM-CONCEPT-INSTEAD,Andreea,2026-09-02,Andreea: will be standalone,the label of CDI_10 'Climate' - not present as a synonym,"no - she asked for a concept, and it is one",her diagnostics doc; audited in c3_exclusion_audit.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Climate impact,climate impact,NOT-AS-SYNONYM-CONCEPT-INSTEAD,Andreea,2026-09-02,Andreea: will be standalone,the label of CRK_167 'Climate impact' - not present as a synonym,"no - she asked for a concept, and it is one",her diagnostics doc; audited in c3_exclusion_audit.csv,"NO - already matches the taxonomy, so it cannot be proposed"
Climate information,climate information,NOT-AS-SYNONYM-CONCEPT-INSTEAD,Andreea,2026-09-02,Andreea: is now standalone concept,the label of INT_264 'Climate information' - not present as a synonym,"no - she asked for a concept, and it is one",her diagnostics doc; audited in c3_exclusion_audit.csv,"NO - already matches the taxonomy, so it cannot be proposed"
