"Column","Value","Definition"
"Mitigation tag","Mitigation-conditional","Counts as mitigation only in combination. Condition in Mitigation condition."
"Mitigation tag","n/a","Not mitigation-relevant (adaptation-only term)."
"Adaptation condition","Intrinsic","Always counts as adaptation; no further condition."
"Adaptation condition","n/a (mitigation)","Out of adaptation scope (mitigation-only term)."
"Adaptation condition","<facet template sentence>","For conditional terms: a per-facet sentence stating what must be true for the term to count as adaptation."
"Mitigation condition","Intrinsic","Always counts as mitigation; no further condition."
"Mitigation condition","n/a (adaptation)","Out of mitigation scope (adaptation-only term)."
"Mitigation condition","<facet template sentence>","For conditional terms: a per-facet sentence stating what must be true for the term to count as mitigation."
"Domain","Crops & agronomy","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Genetic resources & seeds","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Livestock & rangeland","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Fisheries & aquaculture","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Water","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Landscape, forests & ecosystems","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Climate information & services","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Climate risk & resilience","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Climate finance & insurance","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Policy, governance & institutions","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Capacity, knowledge & innovation","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Food, health & nutrition","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Equity & social inclusion","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Food value chain","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Energy","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Livelihoods & rural economy","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Domain","Cross-cutting","Topical subject grouping (kept out of the hierarchy); every term has exactly one."
"Impact area","Climate adaptation & mitigation","CGIAR Impact Area; used for terms specific to the climate frame."
"Impact area","Nutrition, health & food security","CGIAR Impact Area."
"Impact area","Environmental health & biodiversity","CGIAR Impact Area."
"Impact area","Poverty reduction, livelihoods & jobs","CGIAR Impact Area."
"Impact area","Gender equality, youth & social inclusion","CGIAR Impact Area."
"Impact area","Cross-cutting","Not tied to one Impact Area; used for stakeholders, principles, and cross-cutting concepts."
"Related IDs (relation)","produces","An intervention produces this output or outcome."
"Related IDs (relation)","applies-to","A principle, trait, or intervention applies to this system or intervention."
"Related IDs (relation)","addresses","An intervention or output addresses this climate hazard."
"Related IDs (relation)","sequesters","An intervention sequesters carbon into this sink."
"Related IDs (relation)","reduces-emissions","An intervention reduces emissions of this gas or from this source."
"Related IDs (relation)","measured-by","An outcome or state is measured by this output or indicator."
"Related IDs (relation)","part-of","This term is a component part of another (compositional, not is-a-kind-of)."
"Related IDs (relation)","emits","This system emits this greenhouse gas."
"Related IDs (relation)","reduces","The term lowers this climate-risk dimension or undesired state. The constraint is on the target (exposure, sensitivity, vulnerability); the subject is contextual and may be an intervention or an outcome."
"Related IDs (relation)","composed-of","This term is composed of the listed parts."
"Related IDs (relation)","builds","The term strengthens this capacity, capability, or asset. The constraint is on the target; the subject is contextual and may be an intervention (a training that builds skills) or an outcome (income that builds adaptive capacity)."
"Related IDs (relation)","<stored relations only>","The eleven values above are the relations written into the Related IDs column. They are permanent properties of the two concepts and hold regardless of any document. The decision rules also use four from-text relations (attributed-to, exposed-to, benefits-from, engaged-in) that a tagger asserts when reading one piece of content; those are never written into the taxonomy and so are not listed here. See Adaptation_decision_rule.md section 3.1."
